ticket,symbol,type,volume,open_time,open_price,close_time,close_price,sl,tp,profit,commission,swap,net_profit,reason,bars_held,duration_s,mae,mfe,mae_points,mfe_points,slippage_points,balance_after,equity_after,comment,magic,tag
1,EURUSDz,sell,2.27,2023-08-09 08:15:00,1.09842,2023-08-09 09:30:00,1.09871,1.09868,1.09633,-65.83000000002804,15.89,0.0,-81.72000000002804,SL,14,4500.0,-56.749999999968544,229.2699999999899,-24.99999999998614,100.99999999999552,6.382031824395343,9918.279999999972,9982.974999999991,fade breakout up,0,short
2,EURUSDz,sell,1.71,2023-08-10 08:50:00,1.10175,2023-08-10 08:55:00,1.10207,1.10206,1.09787,-54.72000000001676,11.969999999999999,0.0,-66.69000000001677,SL,0,300.0,-63.26999999999683,0.0,-36.999999999998145,0.0,2.6231956216474064,9851.589999999955,9879.804999999986,fade breakout up,0,short
3,EURUSDz,sell,1.64,2023-08-11 08:50:00,1.10007,2023-08-11 09:40:00,1.0984,1.10041,1.0984,273.8800000000099,11.479999999999999,0.0,262.40000000000987,TP,9,3000.0,-22.95999999996834,249.28000000003078,-13.999999999980693,152.0000000000188,3.2587959497256573,10113.989999999965,10073.809999999992,fade breakout up,0,short
4,EURUSDz,sell,0.8,2023-08-14 08:15:00,1.09516,2023-08-14 08:45:00,1.09585,1.09583,1.09263,-55.20000000000636,5.6000000000000005,0.0,-60.800000000006364,SL,5,1800.0,-45.599999999996754,0.0,-56.999999999995936,0.0,6.189501098440157,10053.18999999996,10065.58999999997,fade breakout up,0,short
5,EURUSDz,sell,1.79,2023-08-15 08:50:00,1.09297,2023-08-15 09:40:00,1.09328,1.09325,1.09064,-55.49000000000581,12.530000000000001,0.0,-68.02000000000581,SL,9,3000.0,-28.639999999988895,144.98999999999594,-15.999999999993795,80.99999999999774,2.839135400956547,9985.169999999955,10061.244999999975,fade breakout up,0,short
6,EURUSDz,sell,1.16,2023-08-16 09:45:00,1.09248,2023-08-16 12:35:00,1.0906,1.09291,1.0906,218.07999999998626,8.12,0.0,209.95999999998625,TP,33,10200.0,-25.520000000012644,215.75999999999684,-22.000000000010896,185.99999999999727,0.13814091119211724,10195.129999999941,10169.02999999995,fade breakout up,0,short
7,EURUSDz,sell,2.12,2023-08-17 11:15:00,1.08863,2023-08-17 11:35:00,1.08889,1.08888,1.08628,-55.119999999984515,14.84,0.0,-69.95999999998452,SL,3,1200.0,-27.559999999992257,69.96000000003465,-12.999999999996346,33.00000000001635,1.4390772546973265,10125.169999999956,10242.829999999973,fade breakout up,0,short
8,EURUSDz,buy,1.12,2023-08-18 09:25:00,1.08671,2023-08-18 11:00:00,1.08623,1.08625,1.0888,-53.76000000000403,7.840000000000001,0.0,-61.60000000000403,SL,18,5700.0,-23.520000000004874,103.04000000000359,-21.00000000000435,92.00000000000318,4.687107229207742,10063.569999999952,10106.68999999996,fade breakout down,0,long
9,EURUSDz,buy,1.47,2023-08-22 09:50:00,1.09061,2023-08-22 10:15:00,1.09027,1.09027,1.09304,-49.98000000000102,10.29,0.0,-60.27000000000102,SL,4,1500.0,-38.220000000021905,60.27000000000315,-26.000000000014897,41.000000000002146,0.3479690853611699,10003.29999999995,10105.464999999933,fade breakout down,0,long
10,EURUSDz,buy,1.61,2023-08-24 10:10:00,1.08533,2023-08-24 11:15:00,1.08501,1.08501,1.08766,-51.51999999998004,11.270000000000001,0.0,-62.78999999998004,SL,12,3900.0,-46.68999999998413,49.91000000000523,-28.99999999999014,31.000000000003244,1.0917921307651937,9940.50999999997,9952.584999999975,fade breakout down,0,long
